Gene1	Gene2	pcor	q_value
4	17	-0.0172276918609513	0.978563047571045
2	8	-0.0171536934340785	0.978572517311307
8	15	0.014283175743229	0.978933914381854
14	18	0.0139570933102168	0.978974244201428
7	9	0.0135604990158866	0.979023098826326
1	15	-0.013346432698681	0.979049379578826
10	15	0.0132984624180531	0.979055260308604
2	17	0.0131190816023539	0.979077223132321
1	14	0.0130138403850617	0.979090088241895
8	12	0.0128488628288664	0.979110225613491
9	16	-0.0128056994063921	0.979115488128211
4	13	-0.0112613734918873	0.979302129480423
6	9	0.0109247463215131	0.979342391714309
2	18	-0.0107087814381821	0.979368143442028
3	10	-0.0100582462384728	0.979445343515701
13	18	-0.00876623156558399	0.979597036199181
7	11	-0.00867745882643062	0.979607379732022
9	13	0.00860164064035926	0.97961620583576
2	5	-0.00839323696928376	0.979640428474152
6	15	0.00756185446408725	0.979736508507829
4	18	-0.00751124743897976	0.979742328661095
9	11	0.00661797991507011	0.979844529280435
3	15	-0.00641735346620383	0.979867345737021
3	14	-0.00564769019570061	0.979954411688746
1	9	-0.00537389882982251	0.979985206628685
4	12	-0.00530607029944043	0.979992821420795
10	12	0.00526469959932611	0.979997463135143
5	14	0.00521106271748105	0.980003477957211
8	16	0.0039747527789931	0.980141141607633
2	6	-0.00392010891108864	0.980147183300132
9	15	-0.00280758702716616	0.980269406637961
11	18	-0.00214813317892842	0.980341156218162
15	18	0.00214038243411817	0.980341996439635
14	17	-0.0019230561946653	0.98036552679819
7	14	-0.00187564700739322	0.980370652468843
3	12	0.00169221864280203	0.980390458943018
1	4	-0.0016592323504741	0.980394016573188
4	9	0.00164951193389956	0.98039506469289
11	14	0.0016215943349176	0.980398074334691
10	16	-0.000865718301489807	0.980479213448157
1	8	0.00048677054403686	0.980519640190825
6	16	0.000477317577419352	0.980520646513314
5	9	-0.000272013053683602	0.980542476780933
